state,x,y
Alabama,139,-77
Alaska,-204,-170
Arizona,-203,-40
Arkansas,57,-53
California,-315,5
Colorado,-112,20
Connecticut,297,96
Delaware,275,42
Florida,210,-148
Georgia,182,-75
Hawaii,-317,-143
Idaho,-216,122
Illinois,95,37
Indiana,133,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,1
Louisiana,50,-126
Maine,319,164
Maryland,288,27
Massachusetts,312,112
Michigan,148,101
Minnesota,8,154
Mississippi,40,-51
Missouri,49,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-150,-50
New York,236,104
North Carolina,239,-22
North Dakota,-72,163
Ohio,176,52
Oklahoma,-33,-41
Oregon,-278,138
Pennsylvania,212,66
Rhode Island,318,94
South Carolina,218,-51
South Dakota,-72,112
Tennessee,131,-34
Texas,-38,-106
Utah,-189,34
Vermont,282,154
Virginia,234,12
Washington,-291,190
West Virginia,200,20
Wisconsin,58,119
Wyoming,-134,90
